127.0.0.1, 2018-06-04 12:24:55, GET, /admin/static/_2.15.4/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.042000
127.0.0.1, 2018-06-04 12:24:55, GET, /admin/static/_2.15.4/images/questions.png, HTTP/1.1, 200, 0.014000
127.0.0.1, 2018-06-04 12:24:56, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-06-04 12:25:02, POST, /admin/default/index, HTTP/1.1, 303, 0.062000
127.0.0.1, 2018-06-04 12:25:02, GET, /admin/default/site, HTTP/1.1, 200, 0.083000
127.0.0.1, 2018-06-04 12:25:02, GET, /admin/static/_2.15.4/images/folder.png, HTTP/1.1, 200, 0.054000
127.0.0.1, 2018-06-04 12:25:02, GET, /admin/static/_2.15.4/images/folder_locked.png, HTTP/1.1, 200, 0.055000
127.0.0.1, 2018-06-04 12:25:02, GET, /admin/static/_2.15.4/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.013000
127.0.0.1, 2018-06-04 12:25:04, POST, /admin/default/check_version, HTTP/1.1, 200, 1.238000
127.0.0.1, 2018-06-04 12:25:04, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-06-04 12:25:06, GET, /admin/default/design/rip, HTTP/1.1, 200, 0.411000
127.0.0.1, 2018-06-04 12:25:06, GET, /admin/static/_2.15.4/images/search.png, HTTP/1.1, 200, 0.016000
127.0.0.1, 2018-06-04 12:25:06, GET, /admin/static/_2.15.4/images/help.png, HTTP/1.1, 200, 0.012000
127.0.0.1, 2018-06-04 12:25:06, GET, /admin/static/_2.15.4/images/delete_icon.png, HTTP/1.1, 200, 0.012000
127.0.0.1, 2018-06-04 12:25:06, GET, /admin/static/_2.15.4/images/test_icon.png, HTTP/1.1, 200, 0.011000
127.0.0.1, 2018-06-04 12:25:06, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-06-04 12:25:15, GET, /admin/default/edit/rip/views/default/index.html, HTTP/1.1, 200, 0.129000
127.0.0.1, 2018-06-04 12:25:15, GET, /admin/static/_2.15.4/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.012000
127.0.0.1, 2018-06-04 12:25:15, GET, /admin/static/_2.15.4/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.023000
127.0.0.1, 2018-06-04 12:25:15, GET, /admin/static/_2.15.4/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.036000
127.0.0.1, 2018-06-04 12:25:15, GET, /admin/static/_2.15.4/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.028000
127.0.0.1, 2018-06-04 12:25:15, GET, /admin/static/_2.15.4/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.040000
127.0.0.1, 2018-06-04 12:25:15, GET, /admin/static/_2.15.4/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.042000
127.0.0.1, 2018-06-04 12:25:15, GET, /admin/static/_2.15.4/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.034000
127.0.0.1, 2018-06-04 12:25:15, GET, /admin/static/_2.15.4/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.034000
127.0.0.1, 2018-06-04 12:25:15, GET, /admin/static/_2.15.4/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.024000
127.0.0.1, 2018-06-04 12:25:15, GET, /admin/static/_2.15.4/css/web2py-codemirror.css, HTTP/1.1, 200, 0.026000
127.0.0.1, 2018-06-04 12:25:15, GET, /admin/static/_2.15.4/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.012000
127.0.0.1, 2018-06-04 12:25:15, GET, /admin/static/_2.15.4/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.019000
127.0.0.1, 2018-06-04 12:25:15, GET, /admin/static/_2.15.4/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.034000
127.0.0.1, 2018-06-04 12:25:15, GET, /admin/static/_2.15.4/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.017000

127.0.0.1, 2018-06-04 12:25:15, GET, /admin/static/_2.15.4/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.010000
127.0.0.1, 2018-06-04 12:25:15, GET, /admin/static/_2.15.4/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.010000
127.0.0.1, 2018-06-04 12:25:15, GET, /admin/static/_2.15.4/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.015000
127.0.0.1, 2018-06-04 12:25:15, GET, /admin/static/_2.15.4/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.006000
6000
127.0.0.1, 2018-06-04 12:25:15, GET, /admin/static/_2.15.4/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2018-06-04 12:25:15, GET, /admin/static/_2.15.4/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.011000
127.0.0.1, 2018-06-04 12:25:15, GET, /admin/static/_2.15.4/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-06-04 12:25:15, GET, /admin/static/_2.15.4/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-06-04 12:25:15, GET, /admin/static/_2.15.4/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-06-04 12:25:15, GET, /admin/static/_2.15.4/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.006000
00
127.0.0.1, 2018-06-04 12:25:15, GET, /admin/static/_2.15.4/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.011000
127.0.0.1, 2018-06-04 12:25:15, GET, /admin/static/_2.15.4/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2018-06-04 12:25:15, GET, /admin/static/_2.15.4/codemirror/emmet.min.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2018-06-04 12:25:15, GET, /admin/static/_2.15.4/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.009000
127.0.0.1, 2018-06-04 12:25:15, GET, /admin/static/_2.15.4/js/ajax_editor.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-06-04 12:25:15, GET, /admin/static/_2.15.4/js/typeahead.min.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-06-04 12:25:15, GET, /admin/static/_2.15.4/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.010000
127.0.0.1, 2018-06-04 12:25:16, GET, /admin/static/_2.15.4/images/files_toggle.png, HTTP/1.1, 200, 0.010000
127.0.0.1, 2018-06-04 12:25:16, GET, /admin/static/_2.15.4/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.009000
127.0.0.1, 2018-06-04 12:25:16, GET, /admin/default/edit/rip/views/default/index.html, HTTP/1.1, 200, 0.108000
127.0.0.1, 2018-06-04 12:25:16, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-06-04 12:25:16, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.251000
